spinout_id,year,founded,state,intel_ipr,intel_ownership,intel_capital,others_capital,round_cvc,total_cvc,sic,intel_industry,founder_executive,founders_exp,founders_seniority,founders_kn_spec,patents,uspc_classes,claims,backward_citations,forward_citations,human_capital,intel_specific_human_capital,social_capital,intel_specific_social_capital,acquired,closed,founding_team,employees
1533,2003,2000,CA,0,0,0,0,0,0,ND,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,1,1
1533,2004,2000,CA,0,0,0,0,0,0,ND,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,1,1
1533,2005,2000,CA,0,0,0,0,0,0,ND,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,1,1
1543,2003,2003,CA,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,0,1,0
1543,2004,2003,CA,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,0,1,0
1543,2005,2003,CA,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,0,1,0
1543,2006,2003,CA,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,0,1,0
1543,2007,2003,CA,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,0,1,0
1543,2008,2003,CA,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,1,1,0
1544,2010,2010,TX,0,0,0,0,0,0,ND,0,1,0,35,1,0,,0,0,0,2.4375,.1875,11.4375,2.8125,0,0,2,0
1544,2011,2010,TX,0,0,0,0,0,0,ND,0,1,0,35,1,0,,0,0,0,4.6875,2,15.875,1.6875,0,0,2,0
1544,2012,2010,TX,0,0,0,0,0,0,ND,0,1,0,35,1,0,,0,0,0,11,3.5,29.75,.75,0,0,2,0
1544,2013,2010,TX,0,0,0,0,0,0,ND,0,1,0,35,1,0,,0,0,0,15.625,2.25,49.5,.5,0,0,2,0
1544,2014,2010,TX,0,0,0,0,0,0,ND,0,1,0,35,1,0,,0,0,0,10.125,1.25,33.125,.375,0,0,2,0
1544,2015,2010,TX,0,0,0,0,0,0,ND,0,1,0,35,1,0,,0,0,0,8.5625,.875,29.375,0,0,0,2,0
1558,2007,2007,NY,0,0,0,0,0,0,ND,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,0,1,0
1558,2008,2007,NY,0,0,0,0,0,0,ND,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,0,1,0
